entity,wikipedia_it,wikipedia_en,wikidata,viaf,geonames,type
Brentwood,https://it.wikipedia.org/wiki/Brentwood_(Regno_Unito),"https://en.wikipedia.org/wiki/Brentwood,_Essex",https://www.wikidata.org/entity/Q909993,https://viaf.org/viaf/132540216,https://www.geonames.org/2654782/brentwood.html,place
Brodsky,https://it.wikipedia.org/wiki/Iosif_Aleksandrovi%C4%8D_Brodskij,https://en.wikipedia.org/wiki/Joseph_Brodsky,https://www.wikidata.org/entity/Q862,https://viaf.org/viaf/31993687,,person
Bruxelles,https://it.wikipedia.org/wiki/Bruxelles,https://en.wikipedia.org/wiki/Brussels,https://www.wikidata.org/entity/Q240,https://viaf.org/viaf/332144929079854441105,https://www.geonames.org/2800867/bruxelles-capitale.html,place
Buenos Aires,https://it.wikipedia.org/wiki/Buenos_Aires,https://en.wikipedia.org/wiki/Buenos_Aires,https://www.wikidata.org/entity/Q1486,https://viaf.org/viaf/1331145424662786830473,https://www.geonames.org/3435910/buenos-aires.html,place
Bulgakov,https://it.wikipedia.org/wiki/Michail_Afanas%27evi%C4%8D_Bulgakov,https://en.wikipedia.org/wiki/Mikhail_Bulgakov,https://www.wikidata.org/entity/Q835,https://viaf.org/viaf/99836700,,person
Cadorna,https://it.wikipedia.org/wiki/Luigi_Cadorna,https://en.wikipedia.org/wiki/Luigi_Cadorna,https://www.wikidata.org/entity/Q333809,https://viaf.org/viaf/62355177,,person
Cambridge,https://it.wikipedia.org/wiki/Cambridge,https://en.wikipedia.org/wiki/Cambridge,https://www.wikidata.org/entity/Q350,https://viaf.org/viaf/139487232,https://www.geonames.org/2653941/cambridge.html,place
Campaldino,https://it.wikipedia.org/wiki/Battaglia_di_Campaldino,https://en.wikipedia.org/wiki/Battle_of_Campaldino,https://www.wikidata.org/entity/Q2888241,,,event
Canarie,https://it.wikipedia.org/wiki/Isole_Canarie,https://en.wikipedia.org/wiki/Canary_Islands,https://www.wikidata.org/entity/Q5813,https://viaf.org/viaf/148386330,https://www.geonames.org/2593110/canary-islands.html,place
Caporetto,https://it.wikipedia.org/wiki/Battaglia_di_Caporetto,https://en.wikipedia.org/wiki/Battle_of_Caporetto,https://www.wikidata.org/entity/Q242644,,,event
Carducci,https://it.wikipedia.org/wiki/Giosu%C3%A8_Carducci,https://en.wikipedia.org/wiki/Giosu%C3%A8_Carducci,https://www.wikidata.org/entity/Q43440,https://viaf.org/viaf/34470601,,person
Carla Capponi,https://it.wikipedia.org/wiki/Carla_Capponi,https://en.wikipedia.org/wiki/Carla_Capponi,https://www.wikidata.org/entity/Q3658835,https://viaf.org/viaf/24817680,,person
Carlo,https://it.wikipedia.org/wiki/Carlo_I_d%27Inghilterra,https://en.wikipedia.org/wiki/Charles_I_of_England,https://www.wikidata.org/entity/Q81506,https://viaf.org/viaf/67750325,,person
Carlo Alberto,https://it.wikipedia.org/wiki/Carlo_Alberto_di_Savoia,https://en.wikipedia.org/wiki/Charles_Albert_of_Sardinia,https://www.wikidata.org/entity/Q181261,https://viaf.org/viaf/18030661,,person
Carlo Cattaneo,https://it.wikipedia.org/wiki/Carlo_Cattaneo,https://en.wikipedia.org/wiki/Carlo_Cattaneo,https://www.wikidata.org/entity/Q1042024,https://viaf.org/viaf/32023065,,person
Carlo Magno,https://it.wikipedia.org/wiki/Carlo_Magno,https://en.wikipedia.org/wiki/Charlemagne,https://www.wikidata.org/entity/Q3044,https://viaf.org/viaf/89643029,,person
Carlo V,https://it.wikipedia.org/wiki/Carlo_V_d%27Asburgo,"https://en.wikipedia.org/wiki/Charles_V,_Holy_Roman_Emperor",https://www.wikidata.org/entity/Q32500,https://viaf.org/viaf/88598818,,person
Carlo il Malvagio,https://it.wikipedia.org/wiki/Carlo_II_di_Navarra,https://en.wikipedia.org/wiki/Charles_II_of_Navarre,https://www.wikidata.org/entity/Q43082,https://viaf.org/viaf/266723926,,person
Carso,https://it.wikipedia.org/wiki/Carso,https://en.wikipedia.org/wiki/Karst_Plateau,https://www.wikidata.org/entity/Q625139,https://viaf.org/viaf/243010956,https://www.geonames.org/3197361/kras.html,place
Castiglia,https://it.wikipedia.org/wiki/Castiglia_(regione_storica),https://en.wikipedia.org/wiki/Castile_(historical_region),https://www.wikidata.org/entity/Q1043594,https://viaf.org/viaf/316429328,https://www.geonames.org/3336900/comunidad-autonoma-de-castilla-y-leon.html,place
Caterina,https://it.wikipedia.org/wiki/Caterina_da_Siena,https://en.wikipedia.org/wiki/Catherine_of_Siena,https://www.wikidata.org/entity/Q229190,https://viaf.org/viaf/90633132,,person
Caterina da Siena,https://it.wikipedia.org/wiki/Caterina_da_Siena,https://en.wikipedia.org/wiki/Catherine_of_Siena,https://www.wikidata.org/entity/Q229190,https://viaf.org/viaf/90633132,,person
Cavour,"https://it.wikipedia.org/wiki/Camillo_Benso,_conte_di_Cavour","https://en.wikipedia.org/wiki/Camillo_Benso,_Count_of_Cavour",https://www.wikidata.org/entity/Q166092,https://viaf.org/viaf/68923739,,person
Cesare Rossi,https://it.wikipedia.org/wiki/Cesare_Rossi_(politico),https://en.wikipedia.org/wiki/Cesare_Rossi_(politician),https://www.wikidata.org/entity/Q937137,https://viaf.org/viaf/32798751,,person
Chamberlain,https://it.wikipedia.org/wiki/Neville_Chamberlain,https://en.wikipedia.org/wiki/Neville_Chamberlain,https://www.wikidata.org/entity/Q10664,https://viaf.org/viaf/22318481,,person
Christine,https://it.wikipedia.org/wiki/Cristina_da_Pizzano,https://en.wikipedia.org/wiki/Christine_de_Pizan,https://www.wikidata.org/entity/Q234816,https://viaf.org/viaf/100188547,,person
Cialdini,https://it.wikipedia.org/wiki/Enrico_Cialdini,https://en.wikipedia.org/wiki/Enrico_Cialdini,https://www.wikidata.org/entity/Q697867,https://viaf.org/viaf/42591032,,person
Ciano,https://it.wikipedia.org/wiki/Galeazzo_Ciano,https://en.wikipedia.org/wiki/Galeazzo_Ciano,https://www.wikidata.org/entity/Q220105,https://viaf.org/viaf/56702085,,person
Ciompi,https://it.wikipedia.org/wiki/Tumulto_dei_Ciompi,https://en.wikipedia.org/wiki/Ciompi_Revolt,https://www.wikidata.org/entity/Q1092673,,,event
Cipro,https://it.wikipedia.org/wiki/Cipro,https://en.wikipedia.org/wiki/Cyprus,https://www.wikidata.org/entity/Q229,https://viaf.org/viaf/130118559,https://www.geonames.org/146669/republic-of-cyprus.html,place
Cluny,https://it.wikipedia.org/wiki/Abbazia_di_Cluny,https://en.wikipedia.org/wiki/Cluny_Abbey,https://www.wikidata.org/entity/Q220301,https://viaf.org/viaf/129020265,https://www.geonames.org/3024534/cluny.html,place
Cauchon,https://it.wikipedia.org/wiki/Pierre_Cauchon,https://en.wikipedia.org/wiki/Pierre_Cauchon,https://www.wikidata.org/entity/Q464287,https://viaf.org/viaf/27870650,,person
Colombo,https://it.wikipedia.org/wiki/Cristoforo_Colombo,https://en.wikipedia.org/wiki/Christopher_Columbus,https://www.wikidata.org/entity/Q7322,https://viaf.org/viaf/17231583,,person
Corfù,https://it.wikipedia.org/wiki/Corf%C3%B9,https://en.wikipedia.org/wiki/Corfu,https://www.wikidata.org/entity/Q121378,https://viaf.org/viaf/237254241,https://www.geonames.org/2463678/corfu.html,place
Corrado,https://it.wikipedia.org/wiki/Corrado_del_Monferrato,https://en.wikipedia.org/wiki/Conrad_of_Montferrat,https://www.wikidata.org/entity/Q169329,https://viaf.org/viaf/81205195,,person
Corriere della Sera,https://it.wikipedia.org/wiki/Corriere_della_Sera,https://en.wikipedia.org/wiki/Corriere_della_Sera,https://www.wikidata.org/entity/Q309135,https://viaf.org/viaf/179878632,,organization
Costantino,https://it.wikipedia.org/wiki/Costantino_I,https://en.wikipedia.org/wiki/Constantine_the_Great,https://www.wikidata.org/entity/Q8413,https://viaf.org/viaf/97746098,,person
Costantinopoli,https://it.wikipedia.org/wiki/Costantinopoli,https://en.wikipedia.org/wiki/Constantinople,https://www.wikidata.org/entity/Q16869,https://viaf.org/viaf/122641741,https://www.geonames.org/745044/istanbul.html,place
Creta,https://it.wikipedia.org/wiki/Creta,https://en.wikipedia.org/wiki/Crete,https://www.wikidata.org/entity/Q34374,https://viaf.org/viaf/237254468,https://www.geonames.org/258763/crete.html,place
Cristina,https://it.wikipedia.org/wiki/Cristina_da_Pizzano,https://en.wikipedia.org/wiki/Christine_de_Pizan,https://www.wikidata.org/entity/Q234816,https://viaf.org/viaf/100188547,,person
Cristo,https://it.wikipedia.org/wiki/Ges%C3%B9,https://en.wikipedia.org/wiki/Jesus,https://www.wikidata.org/entity/Q302,https://viaf.org/viaf/141145970137232251241,,person
Cuneo,https://it.wikipedia.org/wiki/Cuneo,https://en.wikipedia.org/wiki/Cuneo,https://www.wikidata.org/entity/Q5968,https://viaf.org/viaf/137221319,https://www.geonames.org/6541864/cuneo.html,place
Custoza,https://it.wikipedia.org/wiki/Battaglia_di_Custoza_(1866),https://en.wikipedia.org/wiki/Battle_of_Custoza_(1866),https://www.wikidata.org/entity/Q48163,,,event
D'Azeglio,https://it.wikipedia.org/wiki/Massimo_d%27Azeglio,https://en.wikipedia.org/wiki/Massimo_d%27Azeglio,https://www.wikidata.org/entity/Q469134,https://viaf.org/viaf/43949,,person
DC,https://it.wikipedia.org/wiki/Democrazia_Cristiana,https://en.wikipedia.org/wiki/Christian_Democracy_(Italy),https://www.wikidata.org/entity/Q815348,https://viaf.org/viaf/137215176,,organization
Dante,https://it.wikipedia.org/wiki/Dante_Alighieri,https://en.wikipedia.org/wiki/Dante_Alighieri,https://www.wikidata.org/entity/Q1067,https://viaf.org/viaf/97105654,,person
Danzica,https://it.wikipedia.org/wiki/Danzica,https://en.wikipedia.org/wiki/Gda%C5%84sk,https://www.wikidata.org/entity/Q1792,https://viaf.org/viaf/123148700,https://www.geonames.org/3099434/gdansk.html,place
De Bono,https://it.wikipedia.org/wiki/Emilio_De_Bono,https://en.wikipedia.org/wiki/Emilio_De_Bono,https://www.wikidata.org/entity/Q354486,https://viaf.org/viaf/46799121,,person
Diaz,https://it.wikipedia.org/wiki/Armando_Diaz,https://en.wikipedia.org/wiki/Armando_Diaz,https://www.wikidata.org/entity/Q333778,https://viaf.org/viaf/5729160,,person
Dino Compagni,https://it.wikipedia.org/wiki/Dino_Compagni,https://en.wikipedia.org/wiki/Dino_Compagni,https://www.wikidata.org/entity/Q716994,https://viaf.org/viaf/64048766,,person
Dio,https://it.wikipedia.org/wiki/Dio,https://en.wikipedia.org/wiki/God,https://www.wikidata.org/entity/Q190,,,
Dumini,https://it.wikipedia.org/wiki/Amerigo_Dumini,https://en.wikipedia.org/wiki/Amerigo_Dumini,https://www.wikidata.org/entity/Q2843122,https://viaf.org/viaf/41967991,,person
Egitto,https://it.wikipedia.org/wiki/Egitto,https://en.wikipedia.org/wiki/Egypt,https://www.wikidata.org/entity/Q79,https://viaf.org/viaf/242059233,https://www.geonames.org/357994/arab-republic-of-egypt.html,place
Elba,https://it.wikipedia.org/wiki/Isola_d%27Elba,https://en.wikipedia.org/wiki/Elba,https://www.wikidata.org/entity/Q45328,https://viaf.org/viaf/315127737,https://www.geonames.org/3177426/isola-d-elba.html,place
Elia,https://it.wikipedia.org/wiki/Elia_da_Cortona,https://en.wikipedia.org/wiki/Elias_of_Cortona,https://www.wikidata.org/entity/Q1329212,https://viaf.org/viaf/96184933,,person
Elisabetta,https://it.wikipedia.org/wiki/Elisabetta_I_d%27Inghilterra,https://en.wikipedia.org/wiki/Elizabeth_I,https://www.wikidata.org/entity/Q7207,https://viaf.org/viaf/97107753,,person
Enrico V,https://it.wikipedia.org/wiki/Enrico_V_d%27Inghilterra,https://en.wikipedia.org/wiki/Henry_V_of_England,https://www.wikidata.org/entity/Q131581,https://viaf.org/viaf/284333410,,person
Europa,https://it.wikipedia.org/wiki/Europa,https://en.wikipedia.org/wiki/Europe,https://www.wikidata.org/entity/Q46,https://viaf.org/viaf/170298814,https://www.geonames.org/6255148/europe.html,place
Falkland,https://it.wikipedia.org/wiki/Isole_Falkland,https://en.wikipedia.org/wiki/Falkland_Islands,https://www.wikidata.org/entity/Q9648,https://viaf.org/viaf/155354899,https://www.geonames.org/3474414/falkland-islands.html,place
Fanfani,https://it.wikipedia.org/wiki/Amintore_Fanfani,https://en.wikipedia.org/wiki/Amintore_Fanfani,https://www.wikidata.org/entity/Q273228,https://viaf.org/viaf/108174450,,person
Fano,https://it.wikipedia.org/wiki/Fano,https://en.wikipedia.org/wiki/Fano,https://www.wikidata.org/entity/Q13142,https://viaf.org/viaf/138378091,https://www.geonames.org/6541050/fano.html,place
Faranda,https://it.wikipedia.org/wiki/Adriana_Faranda,https://en.wikipedia.org/wiki/Adriana_Faranda,https://www.wikidata.org/entity/Q3605665,https://viaf.org/viaf/52495972,,person
Farfa,https://it.wikipedia.org/wiki/Abbazia_di_Farfa,https://en.wikipedia.org/wiki/Farfa_Abbey,https://www.wikidata.org/entity/Q2634480,https://viaf.org/viaf/137282486,https://www.geonames.org/7506755/abbazia-di-farfa.html,place
Federico II,https://it.wikipedia.org/wiki/Federico_II_di_Svevia,"https://en.wikipedia.org/wiki/Frederick_II,_Holy_Roman_Emperor",https://www.wikidata.org/entity/Q130221,https://viaf.org/viaf/46006380,,person
Febvre,https://it.wikipedia.org/wiki/Lucien_Febvre,https://en.wikipedia.org/wiki/Lucien_Febvre,https://www.wikidata.org/entity/Q156999,https://viaf.org/viaf/61545548,,person
Firenze,https://it.wikipedia.org/wiki/Firenze,https://en.wikipedia.org/wiki/Florence,https://www.wikidata.org/entity/Q2044,https://viaf.org/viaf/152981965,https://www.geonames.org/6542285/firenze.html,place
Francesco Ferdinando,https://it.wikipedia.org/wiki/Francesco_Ferdinando_d%27Austria-Este,https://en.wikipedia.org/wiki/Archduke_Franz_Ferdinand_of_Austria,https://www.wikidata.org/entity/Q43063,https://viaf.org/viaf/50016762,,person
Francesco Giuseppe,https://it.wikipedia.org/wiki/Francesco_Giuseppe_I_d%27Austria,https://en.wikipedia.org/wiki/Franz_Joseph_I_of_Austria,https://www.wikidata.org/entity/Q51056,https://viaf.org/viaf/32787948,,person
